AwayWinRate,CompetitionName,Country,DrawRate,HomeWinRate,Matchsplayed,Matchsremaining,url
32%,1.Liga Classic Group 1 2018/2019,Switzerland,20%,48%,130,52,https://www.betexplorer.com/soccer/switzerland/1-liga-classic-group-1/stats/
,,,,,,,
0%,Allsvenskan Women 2019,Sweden,0%,0%,0,132,https://www.betexplorer.com/soccer/sweden/allsvenskan-women/stats/
,,,,,,,
0%,Division 2 - Östra Götaland 2019,Sweden,0%,0%,0,182,https://www.betexplorer.com/soccer/sweden/division-2-ostra-gotaland/stats/
,,,,,,,
17%,Ligi Kuu Bara 2018/2019,Tanzania,31%,52%,295,13,https://www.betexplorer.com/soccer/tanzania/ligi-kuu-bara/stats/
,,,,,,,
0%,Division 2 - Norra Götaland 2019,Sweden,0%,0%,0,182,https://www.betexplorer.com/soccer/sweden/division-2-norra-gotaland/stats/
,,,,,,,
0%,Division 2 - Södra Svealand 2019,Sweden,0%,0%,0,182,https://www.betexplorer.com/soccer/sweden/division-2-sodra-svealand/stats/
,,,,,,,
0%,Division 2 - Norrland 2019,Sweden,0%,0%,0,182,https://www.betexplorer.com/soccer/sweden/division-2-norrland/stats/
,,,,,,,
0%,Division 2 - Västra Götaland 2019,Sweden,0%,0%,0,182,https://www.betexplorer.com/soccer/sweden/division-2-vastra-gotaland/stats/
,,,,,,,
0%,Division 1 - Södra 2019,Sweden,0%,0%,0,240,https://www.betexplorer.com/soccer/sweden/division-1-sodra/stats/
,,,,,,,
50%,Superettan 2019,Sweden,38%,13%,8,232,https://www.betexplorer.com/soccer/sweden/superettan/stats/
,,,,,,,
0%,Division 1 - Norra 2019,Sweden,0%,0%,0,240,https://www.betexplorer.com/soccer/sweden/division-1-norra/stats/
,,,,,,,
13%,Allsvenskan 2019,Sweden,50%,38%,8,232,https://www.betexplorer.com/soccer/sweden/allsvenskan/stats/
,,,,,,,
29%,Challenge League 2018/2019,Switzerland,29%,43%,133,47,https://www.betexplorer.com/soccer/switzerland/challenge-league/stats/
,,,,,,,
34%,Super League 2018/2019,Switzerland,24%,42%,130,50,https://www.betexplorer.com/soccer/switzerland/super-league/stats/
,,,,,,,
0%,Division 2 - Norra Svealand 2019,Sweden,0%,0%,0,182,https://www.betexplorer.com/soccer/sweden/division-2-norra-svealand/stats/
,,,,,,,
30%,Copa Sudamericana 2019,South America,44%,26%,27,17,https://www.betexplorer.com/soccer/south-america/copa-sudamericana/stats/
,,,,,,,
0%,South American Championship U17 2019,South America,67%,33%,3,12,https://www.betexplorer.com/soccer/south-america/south-american-championship-u17/stats/
,,,,,,,
17%,National League 2019,South Korea,33%,50%,12,100,https://www.betexplorer.com/soccer/south-korea/national-league/stats/
,,,,,,,
49%,Nation Link Telecom Championship 2019,Somalia,18%,33%,39,6,https://www.betexplorer.com/soccer/somalia/nation-link-telecom-championship/stats/
,,,,,,,
40%,K League 2 2019,South Korea,25%,35%,20,160,https://www.betexplorer.com/soccer/south-korea/k-league-2/stats/
,,,,,,,
18%,Copa Libertadores 2019,South America,29%,53%,38,58,https://www.betexplorer.com/soccer/south-america/copa-libertadores/stats/
,,,,,,,
21%,Copa de la Reina Women 2018/2019,Spain,36%,43%,14,1,https://www.betexplorer.com/soccer/spain/copa-de-la-reina-women/stats/
,,,,,,,
